ordr_date,cuztomer_id,제품명,quanity,가격,ship_adress,도시,우편번호,country,메모
2025-08-15,C1003,세트 스크류,5,13.35,25-9 Teheran-ro,광주,01839,KR,샘플주문
2025-10-09,C1011,가스켓 B형,10,3.04,101-1 Seongsu-ro,부산,02905,KR,—
2025-08-04,C1071,너트 M6,50,32.95,3-14 Gwangju-daero,대구,02805,KR,—
2025-09-05,C1000,힌지 플레이트,100,9.23,19-2 Centumjungang-ro,인천,03276,KR,검수요청
2025-09-13,C1013,볼트 M8,10,6.18,77 Hangang-daero,대전,03166,KR,급배송
2025-09-28,C1068,볼트 M8,10,5.31,77 Hangang-daero,수원,06149,KR,반품가능 여부 확인
2025-09-16,C1073,너트 M6,50,4.87,25-9 Teheran-ro,수원,03370,KR,반품가능 여부 확인
2025-08-30,C1012,브래킷 A형,5,23.45,77 Hangang-daero,부산,04032,KR,검수요청
2025-09-04,C1089,세트 스크류,50,4.96,25-9 Teheran-ro,대전,06973,KR,검수요청
2025-09-29,C1048,와셔 10mm,50,34.81,25-9 Teheran-ro,광주,03656,KR,반품가능 여부 확인
2025-08-08,C1029,힌지 플레이트,1,40.46,19-2 Centumjungang-ro,인천,01542,KR,—
2025-09-10,C1027,세트 스크류,10,20.65,19-2 Centumjungang-ro,부산,03169,KR,검수요청
2025-10-11,C1068,와셔 10mm,50,29.79,3-14 Gwangju-daero,대구,03965,KR,검수요청
2025-10-05,C1063,볼트 M8,100,3.78,101-1 Seongsu-ro,부산,06140,KR,반품가능 여부 확인
2025-09-24,C1076,볼트 M8,10,19.97,19-2 Centumjungang-ro,대전,03059,KR,반품가능 여부 확인
2025-08-02,C1087,세트 스크류,1,34.49,3-14 Gwangju-daero,수원,03185,KR,샘플주문
2025-09-13,C1014,와셔 10mm,10,9.15,101-1 Seongsu-ro,광주,08174,KR,포장주의
2025-10-04,C1097,너트 M6,20,45.67,77 Hangang-daero,수원,06234,KR,—
2025-08-26,C1019,와셔 10mm,100,9.32,3-14 Gwangju-daero,서울,05906,KR,납기협의
2025-08-03,C1014,와셔 10mm,100,40.55,25-9 Teheran-ro,서울,02973,KR,급배송
